Abbreviation,State Name,FB_key
AL,Alabama,3843
AK,Alaska,3844
AZ,Arizona,3845
AR,Arkansas,3846
CA,California,3847
CO,Colorado,3848
CT,Connecticut,3849
DE,Delaware,3850
FL,Florida,3852
GA,Georgia,3853
HI,Hawaii,3854
ID,Idaho,3855
IL,Illinois,3856
IN,Indiana,3857
IA,Iowa,3858
KS,Kansas,3859
KY,Kentucky,3860
LA,Louisiana,3861
ME,Maine,3862
MD,Maryland,3863
MA,Massachusetts,3864
MI,Michigan,3865
MN,Minnesota,3866
MS,Mississippi,3867
MO,Missouri,3868
MT,Montana,3869
NE,Nebraska,3870
NV,Nevada,3871
NH,New Hampshire,3872
NJ,New Jersey,3873
NM,New Mexico,3874
NY,New York,3875
NC,North Carolina,3876
ND,North Dakota,3877
OH,Ohio,3878
OK,Oklahoma,3879
OR,Oregon,3880
PA,Pennsylvania,3881
RI,Rhode Island,3882
SC,South Carolina,3883
SD,South Dakota,3884
TN,Tennessee,3885
TX,Texas,3886
UT,Utah,3887
VT,Vermont,3888
VA,Virginia,3889
WA,Washington,3890
WV,West Virginia,3891
WI,Wisconsin,3892
WY,Wyoming,3893
